datetime,weather,temp,humidity,windspeed,casual,registered
2011-01-01 00:00:00,1,9.84,81,0.0,3,13
2011-01-01 01:00:00,1,9.02,80,0.0,8,32
2011-01-01 02:00:00,1,9.02,80,0.0,5,27
2011-01-01 03:00:00,1,9.84,75,0.0,3,10
2011-01-01 04:00:00,1,9.84,75,0.0,0,1
2011-01-01 05:00:00,2,9.84,75,6.0,0,1
2011-01-01 06:00:00,1,9.02,80,0.0,2,0
2011-01-01 07:00:00,1,8.2,86,0.0,1,2
2011-01-01 08:00:00,1,9.84,75,0.0,1,7
2011-01-01 09:00:00,1,13.12,76,0.0,8,6
2011-01-01 10:00:00,1,15.58,76,17.0,12,24
2011-01-01 11:00:00,1,14.76,81,19.0,26,30
2011-01-01 12:00:00,1,17.22,77,19.0,29,55
2011-01-01 13:00:00,2,18.86,72,20.0,47,47
2011-01-01 14:00:00,2,18.86,72,19.0,35,71
2011-01-01 15:00:00,2,18.04,77,20.0,40,70
2011-01-01 16:00:00,2,17.22,82,20.0,41,52
2011-01-01 17:00:00,2,18.04,82,19.0,15,52
2011-01-01 18:00:00,3,17.22,88,17.0,9,26
2011-01-01 19:00:00,3,17.22,88,17.0,6,31
2011-01-01 20:00:00,2,16.4,87,17.0,11,25
2011-01-01 21:00:00,2,16.4,87,13.0,3,31
2011-01-01 22:00:00,2,16.4,94,15.0,11,17
2011-01-01 23:00:00,2,18.86,88,20.0,15,24
2011-01-02 00:00:00,2,18.86,88,20.0,4,13
2011-01-02 01:00:00,2,18.04,94,17.0,1,16
2011-01-02 02:00:00,2,17.22,100,19.0,1,8
2011-01-02 03:00:00,2,18.86,94,13.0,2,4
2011-01-02 04:00:00,2,18.86,94,13.0,2,1
2011-01-02 06:00:00,3,17.22,77,20.0,0,2
2011-01-02 07:00:00,2,16.4,76,13.0,0,1
2011-01-02 08:00:00,3,16.4,71,15.0,0,8
2011-01-02 09:00:00,2,15.58,76,15.0,1,19
2011-01-02 10:00:00,2,14.76,81,15.0,7,46
2011-01-02 11:00:00,2,14.76,71,17.0,16,54
2011-01-02 12:00:00,2,14.76,66,20.0,20,73
2011-01-02 13:00:00,2,14.76,66,9.0,11,64
2011-01-02 14:00:00,3,14.76,76,13.0,4,55
2011-01-02 15:00:00,3,13.94,81,11.0,19,55
2011-01-02 16:00:00,3,13.94,71,11.0,9,67
2011-01-02 17:00:00,1,13.94,57,13.0,7,58
2011-01-02 18:00:00,2,14.76,46,22.0,10,43
2011-01-02 19:00:00,1,13.12,42,30.0,1,29
2011-01-02 20:00:00,1,12.3,39,24.0,5,17
2011-01-02 21:00:00,1,10.66,44,22.0,11,20
2011-01-02 22:00:00,1,9.84,44,20.0,0,9
2011-01-02 23:00:00,1,9.02,47,11.0,0,8
2011-01-03 00:00:00,1,9.02,44,24.0,0,5
2011-01-03 01:00:00,1,8.2,44,28.0,0,2
2011-01-03 04:00:00,1,6.56,47,26.0,0,1
2011-01-03 05:00:00,1,6.56,47,19.0,0,3
2011-01-03 06:00:00,1,5.74,50,26.0,0,30
2011-01-03 07:00:00,1,5.74,50,13.0,1,63
2011-01-03 08:00:00,1,5.74,50,19.0,1,153
2011-01-03 09:00:00,1,6.56,43,26.0,7,81
2011-01-03 10:00:00,1,7.38,43,17.0,11,33
2011-01-03 11:00:00,1,8.2,40,22.0,10,41
2011-01-03 12:00:00,1,9.02,35,20.0,13,48
2011-01-03 13:00:00,1,9.84,35,19.0,8,53
2011-01-03 14:00:00,1,10.66,30,19.0,11,66
2011-01-03 15:00:00,1,10.66,30,17.0,14,58
2011-01-03 16:00:00,1,10.66,30,17.0,9,67
2011-01-03 17:00:00,1,9.84,30,15.0,11,146
2011-01-03 18:00:00,1,9.84,32,7.0,9,148
2011-01-03 19:00:00,1,8.2,47,0.0,8,102
2011-01-03 20:00:00,1,8.2,47,7.0,3,49
2011-01-03 21:00:00,1,7.38,64,9.0,3,49
2011-01-03 22:00:00,1,5.74,69,9.0,0,20
2011-01-03 23:00:00,1,7.38,55,7.0,1,11
2011-01-04 00:00:00,1,6.56,55,7.0,0,5
2011-01-04 01:00:00,1,6.56,59,7.0,0,2
2011-01-04 02:00:00,1,5.74,63,9.0,0,1
2011-01-04 04:00:00,1,5.74,63,6.0,0,2
2011-01-04 05:00:00,1,4.92,68,7.0,0,4
2011-01-04 06:00:00,1,4.92,74,7.0,0,36
2011-01-04 07:00:00,1,4.92,74,9.0,2,92
2011-01-04 08:00:00,1,5.74,69,11.0,2,177
2011-01-04 09:00:00,1,6.56,64,15.0,2,98
2011-01-04 10:00:00,2,6.56,69,22.0,5,37
2011-01-04 11:00:00,1,9.02,51,20.0,7,50
2011-01-04 12:00:00,1,9.02,51,11.0,12,66
2011-01-04 13:00:00,1,9.84,56,13.0,18,79
2011-01-04 14:00:00,1,10.66,52,15.0,9,54
2011-01-04 15:00:00,1,11.48,52,17.0,17,48
2011-01-04 16:00:00,1,12.3,49,17.0,15,68
2011-01-04 17:00:00,1,11.48,48,15.0,10,202
2011-01-04 18:00:00,1,10.66,48,13.0,3,179
2011-01-04 19:00:00,1,9.84,48,7.0,2,110
2011-01-04 20:00:00,1,9.84,48,7.0,1,53
2011-01-04 21:00:00,1,9.02,64,0.0,0,48
2011-01-04 22:00:00,1,9.02,64,6.0,1,34
2011-01-04 23:00:00,1,8.2,69,6.0,2,9
2011-01-05 00:00:00,1,8.2,64,0.0,0,6
2011-01-05 01:00:00,1,6.56,74,6.0,0,6
2011-01-05 02:00:00,1,6.56,74,6.0,0,2
2011-01-05 04:00:00,1,9.84,48,15.0,0,2
2011-01-05 05:00:00,1,9.02,47,11.0,0,3
2011-01-05 06:00:00,1,8.2,47,15.0,0,33
2011-01-05 07:00:00,1,7.38,43,13.0,1,87
2011-01-05 08:00:00,1,8.2,40,20.0,3,192
2011-01-05 09:00:00,1,9.02,37,22.0,6,109
2011-01-05 10:00:00,1,9.02,37,22.0,4,53
2011-01-05 11:00:00,1,10.66,33,22.0,12,34
2011-01-05 12:00:00,1,10.66,33,22.0,5,74
2011-01-05 13:00:00,1,11.48,30,20.0,6,65
2011-01-05 14:00:00,1,12.3,28,13.0,10,52
2011-01-05 15:00:00,1,12.3,28,13.0,7,55
2011-01-05 16:00:00,1,12.3,28,6.0,4,85
2011-01-05 17:00:00,1,9.84,38,13.0,4,186
2011-01-05 18:00:00,1,9.84,38,9.0,3,166
2011-01-05 19:00:00,1,9.84,38,7.0,5,127
2011-01-05 20:00:00,1,9.02,47,11.0,7,82
2011-01-05 21:00:00,1,8.2,51,13.0,3,40
2011-01-05 22:00:00,1,7.38,55,9.0,1,41
2011-01-05 23:00:00,1,8.2,47,0.0,1,18
2011-01-06 00:00:00,1,7.38,55,0.0,0,11
2011-01-06 01:00:00,1,6.56,64,0.0,0,4
2011-01-06 02:00:00,1,6.56,64,0.0,0,2
2011-01-06 04:00:00,2,6.56,64,6.0,0,1
2011-01-06 05:00:00,2,5.74,69,6.0,0,4
2011-01-06 06:00:00,2,5.74,63,7.0,0,36
2011-01-06 07:00:00,2,6.56,59,0.0,0,95
2011-01-06 08:00:00,1,6.56,59,0.0,3,216
2011-01-06 09:00:00,2,7.38,51,0.0,6,116
2011-01-06 10:00:00,1,8.2,47,0.0,3,42
2011-01-06 11:00:00,1,9.02,44,6.0,2,57
2011-01-06 12:00:00,1,10.66,35,0.0,6,78
2011-01-06 13:00:00,1,10.66,35,7.0,12,55
2011-01-06 14:00:00,1,11.48,36,11.0,11,59
2011-01-06 15:00:00,1,11.48,36,0.0,8,54
2011-01-06 16:00:00,1,10.66,38,11.0,12,74
2011-01-06 17:00:00,1,9.02,51,11.0,9,163
2011-01-06 18:00:00,1,9.02,51,9.0,5,158
2011-01-06 19:00:00,1,9.02,55,6.0,3,109
2011-01-06 20:00:00,1,8.2,51,11.0,3,66
2011-01-06 21:00:00,2,9.02,55,15.0,0,48
2011-01-06 22:00:00,2,9.02,51,19.0,1,51
2011-01-06 23:00:00,2,8.2,59,13.0,4,19
2011-01-07 00:00:00,2,8.2,64,13.0,4,13
2011-01-07 01:00:00,2,8.2,69,15.0,2,5
2011-01-07 02:00:00,2,8.2,69,15.0,0,1
2011-01-07 04:00:00,2,8.2,69,9.0,0,1
2011-01-07 05:00:00,3,9.02,55,0.0,0,5
2011-01-07 06:00:00,2,8.2,69,0.0,8,26
2011-01-07 07:00:00,1,8.2,69,9.0,8,76
